Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Sales Goal,Sales Left,Sales Percent,Quantity,Quantity Goal,Quantity Left,Quantity Percent,Discount,Discount Goal,Discount Left,Discount Percent,Profit,Profit Goal,Profit Left,Profit Percent
1,CA-2016-152156,11/8/16,11/11/16,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,851.37,589.41, 30.8 ,2,2.18,0.18, 91.7 ,0,0,0, -   ,41.9136,43.171008,1.257408, 97.1 
2,CA-2016-152156,11/8/16,11/11/16,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,1127.1876,395.2476, 64.9 ,3,3,0, 100.0 ,0,0,0, -   ,219.582,338.15628,118.57428, 64.9 
3,CA-2016-138688,6/12/16,6/16/16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,31.8716,17.2516, 45.9 ,2,3,1, 66.7 ,0,0,0, -   ,6.8714,11.68138,4.80998, 58.8 
4,US-2015-108966,10/11/15,10/18/15,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,1580.002875,622.425375, 60.6 ,5,6.85,1.85, 73.0 ,0.45,3.663,3.213, 12.3 ,-383.031,-681.79518,-298.76418, 56.2 
5,US-2015-108966,10/11/15,10/18/15,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,67.77504,45.40704, 33.0 ,2,1.82,-0.18, 109.9 ,0.2,1.38,1.18, 14.5 ,2.5164,3.044844,0.528444, 82.6 
6,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,101.1402,52.2802, 48.3 ,7,8.82,1.82, 79.4 ,0,0,0, -   ,14.1694,13.177542,-0.991858, 107.5 
7,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,8.8088,1.5288, 82.6 ,4,5.2,1.2, 76.9 ,0,0,0, -   ,1.9656,1.86732,-0.09828, 105.3 
8,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,2013.87744,1106.72544, 45.0 ,6,7.02,1.02, 85.5 ,0.2,1.17,0.97, 17.1 ,90.7152,95.25096,4.53576, 95.2 
9,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,25.35048,6.84648, 73.0 ,3,4.5,1.5, 66.7 ,0.2,1.11,0.91, 18.0 ,5.7825,6.939,1.1565, 83.3 
10,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,322.869,207.969, 35.6 ,5,4.8,-0.2, 104.2 ,0,0,0, -   ,34.47,61.3566,26.8866, 56.2 
11,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,5255.04672,3548.86272, 32.5 ,9,11.88,2.88, 75.8 ,0.2,1.652,1.452, 12.1 ,85.3092,121.992156,36.682956, 69.9 
12,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,975.22368,63.79968, 93.5 ,4,3.96,-0.04, 101.0 ,0.2,1.758,1.558, 11.4 ,68.3568,126.46008,58.10328, 54.1 
13,CA-2017-114412,4/15/17,4/20/17,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,35.45856,19.90656, 43.9 ,3,3.93,0.93, 76.3 ,0.2,1.72,1.52, 11.6 ,5.4432,5.007744,-0.435456, 108.7 
14,CA-2016-161389,12/5/16,12/10/16,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,1403.43744,995.46144, 29.1 ,3,3.87,0.87, 77.5 ,0.2,0.896,0.696, 22.3 ,132.5922,263.858478,131.266278, 50.3 
15,US-2015-118983,11/22/15,11/26/15,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,187.1632,118.3532, 36.8 ,5,4.75,-0.25, 105.3 ,0.8,3.64,2.84, 22.0 ,-123.858,-157.29966,-33.44166, 78.7 
16,US-2015-118983,11/22/15,11/26/15,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,9.00576,6.46176, 28.2 ,3,3.57,0.57, 84.0 ,0.8,5.816,5.016, 13.8 ,-3.816,-6.14376,-2.32776, 62.1 
17,CA-2014-105893,11/11/14,11/18/14,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,2130.816,1464.936, 31.3 ,6,5.76,-0.24, 104.2 ,0,0,0, -   ,13.3176,19.443696,6.126096, 68.5 
18,CA-2014-167164,5/13/14,5/15/14,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,70.485,14.985, 78.7 ,2,2.8,0.8, 71.4 ,0,0,0, -   ,9.99,11.7882,1.7982, 84.7 
19,CA-2014-143336,8/27/14,9/1/14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,9.844,1.284, 87.0 ,2,2.74,0.74, 73.0 ,0,0,0, -   ,2.4824,3.798072,1.315672, 65.4 
20,CA-2014-143336,8/27/14,9/1/14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,794.1456,580.6656, 26.9 ,3,3.12,0.12, 96.2 ,0.2,1.546,1.346, 12.9 ,16.011,22.73562,6.72462, 70.4 
21,CA-2014-143336,8/27/14,9/1/14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,25.2192,2.4992, 90.1 ,4,5.6,1.6, 71.4 ,0.2,0.876,0.676, 22.8 ,7.384,7.60552,0.22152, 97.1 
22,CA-2016-137330,12/9/16,12/13/16,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,30.7468,11.2868, 63.3 ,7,9.94,2.94, 70.4 ,0,0,0, -   ,5.0596,5.767944,0.708344, 87.7 
